Season,TeamSource,TeamCanonical,TrueSeed,IsSelected,SourceUrl,SourceType,Verified
2020-21,VCU,VCU,38,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,St. Bonaventure,St. Bonaventure,39,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Rutgers,Rutgers,40,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Syracuse,Syracuse,41,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Utah State,Utah St.,42,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Michigan State,Michigan St.,43,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,UCLA,UCLA,44,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Wichita State,Wichita St.,45,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Oregon State,Oregon St.,46,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Georgetown,Georgetown,47,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Drake,Drake,48,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Winthrop,Winthrop,49,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
