model,feature,importance
ridge,cat__Conference_Sun Belt,0.04427528449044597
ridge,num__q12_win_rate_season_z,0.0434758055428881
ridge,num__Conf.Record_MARGIN,0.040742346850786704
ridge,num__q34_loss_rate,0.03769596200645997
ridge,num__NETSOS_INV,0.033446205061431256
ridge,num__bad_loss_penalty_neg_season_pct,0.031673166172677236
ridge,num__WL_PCT_minus_conf_mean,0.03128869304972148
ridge,num__top_resume_index_season_z,0.0303974510671996
ridge,num__Quadrant2_MARGIN,0.02686320244601348
ridge,cat__Conference_Southland,0.026614641946738272
ridge,num__q34_losses_neg_season_pct,0.02208526483483353
ridge,num__top_resume_index,0.021989232601492326
ridge,cat__Conference_WAC,0.019832178121787527
ridge,num__quality_win_score,0.019389544055967267
ridge,num__net_top_75_distance,0.014943376802956765
ridge,num__net_top_50_distance,0.014943376802954877
ridge,num__net_top_45_distance,0.014943376802954877
ridge,num__NET Rank,0.014943376802954433
ridge,num__net_top_16_distance,0.014943376802954433
ridge,num__net_top_25_distance,0.014943376802954433
ridge,num__net_top_10_distance,0.014943376802954433
ridge,num__PrevNET,0.011155360712005291
ridge,cat__Conference_Horizon,0.010071429100733144
ridge,cat__Conference_CAA,0.009547866074917834
ridge,num__NETSOS_MISSING,0.0
ridge,num__NET Rank_MISSING,0.0
ridge,num__AvgOppNET_MISSING,0.0
ridge,num__AvgOppNETRank_MISSING,0.0
ridge,num__PrevNET_MISSING,0.0
